date,symbol,bb_bandwidth
2026-08-08 00:00:00,LODHA,0.168
2026-08-08 00:00:00,LOTUSDEV,0.5492
2026-08-08 00:00:00,LT,0.1036
2026-08-08 00:00:00,LTF,0.0727
2026-08-08 00:00:00,LTFOODS,0.1882
2026-08-08 00:00:00,LTM,0.2244
2026-08-08 00:00:00,LTTS,0.1264
2026-08-08 00:00:00,LUMAXTECH,0.2482
2026-08-08 00:00:00,LUPIN,0.0698
2026-08-08 00:00:00,LXCHEM,0.2097
2026-08-08 00:00:00,M&M,0.1603
2026-08-08 00:00:00,M&MFIN,0.3412
2026-08-08 00:00:00,MAHABANK,0.058
2026-08-08 00:00:00,MAHSCOOTER,0.1445
2026-08-08 00:00:00,MAHSEAMLES,0.0531
2026-08-08 00:00:00,MANAPPURAM,0.1847
2026-08-08 00:00:00,MANKIND,0.0902
2026-08-08 00:00:00,MANORAMA,0.0607
2026-08-08 00:00:00,MANYAVAR,0.3747
2026-08-08 00:00:00,MAPMYINDIA,0.1989
2026-08-08 00:00:00,MARICO,0.07
2026-08-08 00:00:00,MARKSANS,0.1498
2026-08-08 00:00:00,MARUTI,0.0843
2026-08-08 00:00:00,MASTEK,0.1755
2026-08-08 00:00:00,MAXHEALTH,0.0543
2026-08-08 00:00:00,MAZDOCK,0.1084
2026-08-08 00:00:00,MCX,0.1204
2026-08-08 00:00:00,MEDANTA,0.1367
2026-08-08 00:00:00,MEDPLUS,0.2801
2026-08-08 00:00:00,METROPOLIS,0.0836
2026-08-08 00:00:00,MFSL,0.1037
2026-08-08 00:00:00,MGL,0.0693
2026-08-08 00:00:00,MIDHANI,0.1261
2026-08-08 00:00:00,MINDACORP,0.1198
2026-08-08 00:00:00,MMTC,0.088
2026-08-08 00:00:00,MOIL,0.092
2026-08-08 00:00:00,MOTHERSON,0.1712
2026-08-08 00:00:00,MOTILALOFS,0.2299
2026-08-08 00:00:00,MPHASIS,0.1019
2026-08-08 00:00:00,MRF,0.0412
2026-08-08 00:00:00,MRPL,0.1413
2026-08-08 00:00:00,MSTCLTD,0.1362
2026-08-08 00:00:00,MSUMI,0.0707
2026-08-08 00:00:00,MTARTECH,0.3531
2026-08-08 00:00:00,MUTHOOTFIN,0.0918
2026-08-08 00:00:00,NAM-INDIA,0.103
2026-08-08 00:00:00,NATCOPHARM,0.093
2026-08-08 00:00:00,NATIONALUM,0.175
2026-08-08 00:00:00,NAUKRI,0.1058
2026-08-08 00:00:00,NAVA,0.1142
2026-08-08 00:00:00,NAVINFLUOR,0.1487
2026-08-08 00:00:00,NAZARA,0.2476
2026-08-08 00:00:00,NBCC,0.0831
2026-08-08 00:00:00,NCC,0.0751
2026-08-08 00:00:00,NEOGEN,0.1679
2026-08-08 00:00:00,NESCO,0.0749
2026-08-08 00:00:00,NESTLEIND,0.1173
2026-08-08 00:00:00,NETWEB,0.2184
2026-08-08 00:00:00,NETWORK18,0.1409
2026-08-08 00:00:00,NEULANDLAB,0.226
2026-08-08 00:00:00,NEWGEN,0.1499
2026-08-08 00:00:00,NFL,0.0563
2026-08-08 00:00:00,NH,0.1269
2026-08-08 00:00:00,NHPC,0.0537
2026-08-08 00:00:00,NIACL,0.1332
2026-08-08 00:00:00,NIVABUPA,0.0435
2026-08-08 00:00:00,NLCINDIA,0.0658
2026-08-08 00:00:00,NMDC,0.0453
2026-08-08 00:00:00,NSLNISP,0.0831
2026-08-08 00:00:00,NTPC,0.0369
2026-08-08 00:00:00,NTPCGREEN,0.0834
2026-08-08 00:00:00,NUVAMA,0.2198
2026-08-08 00:00:00,NUVOCO,0.1303
2026-08-08 00:00:00,NYKAA,0.0737
2026-08-08 00:00:00,OBEROIRLTY,0.0949
2026-08-08 00:00:00,OFSS,0.1238
2026-08-08 00:00:00,OIL,0.0754
2026-08-08 00:00:00,OLAELEC,0.158
2026-08-08 00:00:00,OLECTRA,0.0863
2026-08-08 00:00:00,ONESOURCE,0.1457
2026-08-08 00:00:00,ONGC,0.0813
2026-08-08 00:00:00,OPTIEMUS,0.1685
2026-08-08 00:00:00,ORIENTCEM,0.0487
2026-08-08 00:00:00,OSWALPUMPS,0.3581
2026-08-08 00:00:00,PAGEIND,0.0304
2026-08-08 00:00:00,PARADEEP,0.1617
2026-08-08 00:00:00,PARAS,0.1373
2026-08-08 00:00:00,PATANJALI,0.2274
2026-08-08 00:00:00,PAYTM,0.1672
2026-08-08 00:00:00,PCBL,0.1292
2026-08-08 00:00:00,PCJEWELLER,0.1635
2026-08-08 00:00:00,PERSISTENT,0.1511
2026-08-08 00:00:00,PETRONET,0.0542
2026-08-08 00:00:00,PFC,0.0818
2026-08-08 00:00:00,PFIZER,0.1044
2026-08-08 00:00:00,PFOCUS,0.1435
2026-08-08 00:00:00,PGEL,0.114
2026-08-08 00:00:00,PGIL,0.2129
